Position,Train_Raw_Column,Test_Raw_Column,Train_Sanitized_Column,Test_Sanitized_Column,Feature_Kind,Status
470,降水情况(NIED)_2-否,降水情况(NIED)_2-否,降水情况_NIED_2-否,降水情况_NIED_2-否,categorical_dummy_or_binary,aligned
471,降水情况(NIED)_3-下雨,降水情况(NIED)_3-下雨,降水情况_NIED_3-下雨,降水情况_NIED_3-下雨,categorical_dummy_or_binary,aligned
472,降水情况(NIED)_5-雪,降水情况(NIED)_5-雪,降水情况_NIED_5-雪,降水情况_NIED_5-雪,categorical_dummy_or_binary,aligned
473,降水情况(NIED)_9-未知,降水情况(NIED)_9-未知,降水情况_NIED_9-未知,降水情况_NIED_9-未知,categorical_dummy_or_binary,aligned
474,降水量(NIEDR)_0-不适用,降水量(NIEDR)_0-不适用,降水量_NIEDR_0-不适用,降水量_NIEDR_0-不适用,categorical_dummy_or_binary,aligned
475,降水量(NIEDR)_3-小,降水量(NIEDR)_3-小,降水量_NIEDR_3-小,降水量_NIEDR_3-小,categorical_dummy_or_binary,aligned
476,降水量(NIEDR)_4-中,降水量(NIEDR)_4-中,降水量_NIEDR_4-中,降水量_NIEDR_4-中,categorical_dummy_or_binary,aligned
477,降水量(NIEDR)_5-大,降水量(NIEDR)_5-大,降水量_NIEDR_5-大,降水量_NIEDR_5-大,categorical_dummy_or_binary,aligned
478,降水量(NIEDR)_9-未知,降水量(NIEDR)_9-未知,降水量_NIEDR_9-未知,降水量_NIEDR_9-未知,categorical_dummy_or_binary,aligned
479,降水量(NIEDR)_MISSING_OR_UNKNOWN,降水量(NIEDR)_MISSING_OR_UNKNOWN,降水量_NIEDR_MISSING_OR_UNKNOWN,降水量_NIEDR_MISSING_OR_UNKNOWN,categorical_dummy_or_binary,aligned
480,交通灯设置位置(LZAU)_1-交通灯，具体未知,交通灯设置位置(LZAU)_1-交通灯，具体未知,交通灯设置位置_LZAU_1-交通灯，具体未知,交通灯设置位置_LZAU_1-交通灯，具体未知,categorical_dummy_or_binary,aligned
481,交通灯设置位置(LZAU)_2-无,交通灯设置位置(LZAU)_2-无,交通灯设置位置_LZAU_2-无,交通灯设置位置_LZAU_2-无,categorical_dummy_or_binary,aligned
482,交通灯设置位置(LZAU)_3-在交通中心/完全控制,交通灯设置位置(LZAU)_3-在交通中心/完全控制,交通灯设置位置_LZAU_3-在交通中心/完全控制,交通灯设置位置_LZAU_3-在交通中心/完全控制,categorical_dummy_or_binary,aligned
483,交通灯设置位置(LZAU)_4-在人行横道/单个控制,交通灯设置位置(LZAU)_4-在人行横道/单个控制,交通灯设置位置_LZAU_4-在人行横道/单个控制,交通灯设置位置_LZAU_4-在人行横道/单个控制,categorical_dummy_or_binary,aligned
484,交通灯设置位置(LZAU)_MISSING_OR_UNKNOWN,交通灯设置位置(LZAU)_MISSING_OR_UNKNOWN,交通灯设置位置_LZAU_MISSING_OR_UNKNOWN,交通灯设置位置_LZAU_MISSING_OR_UNKNOWN,categorical_dummy_or_binary,aligned
485,交通灯的功能(LZAB)_0-不适用,交通灯的功能(LZAB)_0-不适用,交通灯的功能_LZAB_0-不适用,交通灯的功能_LZAB_0-不适用,categorical_dummy_or_binary,aligned
486,交通灯的功能(LZAB)_1-工作中,交通灯的功能(LZAB)_1-工作中,交通灯的功能_LZAB_1-工作中,交通灯的功能_LZAB_1-工作中,categorical_dummy_or_binary,aligned
487,交通灯的功能(LZAB)_2-不正常,交通灯的功能(LZAB)_2-不正常,交通灯的功能_LZAB_2-不正常,交通灯的功能_LZAB_2-不正常,categorical_dummy_or_binary,aligned
488,交通灯的功能(LZAB)_3-黄色闪灯,交通灯的功能(LZAB)_3-黄色闪灯,交通灯的功能_LZAB_3-黄色闪灯,交通灯的功能_LZAB_3-黄色闪灯,categorical_dummy_or_binary,aligned
489,交通灯的功能(LZAB)_9-未知,交通灯的功能(LZAB)_9-未知,交通灯的功能_LZAB_9-未知,交通灯的功能_LZAB_9-未知,categorical_dummy_or_binary,aligned
490,交通灯的功能(LZAB)_MISSING_OR_UNKNOWN,交通灯的功能(LZAB)_MISSING_OR_UNKNOWN,交通灯的功能_LZAB_MISSING_OR_UNKNOWN,交通灯的功能_LZAB_MISSING_OR_UNKNOWN,categorical_dummy_or_binary,aligned
491,事故现场周边的公交车站(BUSH)_1-有，具体未知,事故现场周边的公交车站(BUSH)_1-有，具体未知,事故现场周边的公交车站_BUSH_1-有，具体未知,事故现场周边的公交车站_BUSH_1-有，具体未知,categorical_dummy_or_binary,aligned
492,事故现场周边的公交车站(BUSH)_2-无,事故现场周边的公交车站(BUSH)_2-无,事故现场周边的公交车站_BUSH_2-无,事故现场周边的公交车站_BUSH_2-无,categorical_dummy_or_binary,aligned
493,事故现场周边的公交车站(BUSH)_3-无防护栏的道路边界,事故现场周边的公交车站(BUSH)_3-无防护栏的道路边界,事故现场周边的公交车站_BUSH_3-无防护栏的道路边界,事故现场周边的公交车站_BUSH_3-无防护栏的道路边界,categorical_dummy_or_binary,aligned
494,事故现场周边的公交车站(BUSH)_4-有防护栏的道路边界,事故现场周边的公交车站(BUSH)_4-有防护栏的道路边界,事故现场周边的公交车站_BUSH_4-有防护栏的道路边界,事故现场周边的公交车站_BUSH_4-有防护栏的道路边界,categorical_dummy_or_binary,aligned
495,事故现场周边的公交车站(BUSH)_7-路边凸起的月台,事故现场周边的公交车站(BUSH)_7-路边凸起的月台,事故现场周边的公交车站_BUSH_7-路边凸起的月台,事故现场周边的公交车站_BUSH_7-路边凸起的月台,categorical_dummy_or_binary,aligned
496,事故现场周边的公交车站(BUSH)_MISSING_OR_UNKNOWN,事故现场周边的公交车站(BUSH)_MISSING_OR_UNKNOWN,事故现场周边的公交车站_BUSH_MISSING_OR_UNKNOWN,事故现场周边的公交车站_BUSH_MISSING_OR_UNKNOWN,categorical_dummy_or_binary,aligned
497,公交车站对事故的影响(BUSHE)_0-不适用,公交车站对事故的影响(BUSHE)_0-不适用,公交车站对事故的影响_BUSHE_0-不适用,公交车站对事故的影响_BUSHE_0-不适用,categorical_dummy_or_binary,aligned
498,公交车站对事故的影响(BUSHE)_2-无,公交车站对事故的影响(BUSHE)_2-无,公交车站对事故的影响_BUSHE_2-无,公交车站对事故的影响_BUSHE_2-无,categorical_dummy_or_binary,aligned
499,公交车站对事故的影响(BUSHE)_MISSING_OR_UNKNOWN,公交车站对事故的影响(BUSHE)_MISSING_OR_UNKNOWN,公交车站对事故的影响_BUSHE_MISSING_OR_UNKNOWN,公交车站对事故的影响_BUSHE_MISSING_OR_UNKNOWN,categorical_dummy_or_binary,aligned
500,进入公交车站是否安全(BUSHS)_0-不适用,进入公交车站是否安全(BUSHS)_0-不适用,进入公交车站是否安全_BUSHS_0-不适用,进入公交车站是否安全_BUSHS_0-不适用,categorical_dummy_or_binary,aligned
501,进入公交车站是否安全(BUSHS)_5-穿行有交通灯的马路,进入公交车站是否安全(BUSHS)_5-穿行有交通灯的马路,进入公交车站是否安全_BUSHS_5-穿行有交通灯的马路,进入公交车站是否安全_BUSHS_5-穿行有交通灯的马路,categorical_dummy_or_binary,aligned
502,进入公交车站是否安全(BUSHS)_8-其他,进入公交车站是否安全(BUSHS)_8-其他,进入公交车站是否安全_BUSHS_8-其他,进入公交车站是否安全_BUSHS_8-其他,categorical_dummy_or_binary,aligned
503,进入公交车站是否安全(BUSHS)_9-未知,进入公交车站是否安全(BUSHS)_9-未知,进入公交车站是否安全_BUSHS_9-未知,进入公交车站是否安全_BUSHS_9-未知,categorical_dummy_or_binary,aligned
504,进入公交车站是否安全(BUSHS)_MISSING_OR_UNKNOWN,进入公交车站是否安全(BUSHS)_MISSING_OR_UNKNOWN,进入公交车站是否安全_BUSHS_MISSING_OR_UNKNOWN,进入公交车站是否安全_BUSHS_MISSING_OR_UNKNOWN,categorical_dummy_or_binary,aligned
505,事故现场道路环境(STFUHO)_1-丁字路口,事故现场道路环境(STFUHO)_1-丁字路口,事故现场道路环境_STFUHO_1-丁字路口,事故现场道路环境_STFUHO_1-丁字路口,categorical_dummy_or_binary,aligned
506,事故现场道路环境(STFUHO)_10-窄路,事故现场道路环境(STFUHO)_10-窄路,事故现场道路环境_STFUHO_10-窄路,事故现场道路环境_STFUHO_10-窄路,categorical_dummy_or_binary,aligned
507,事故现场道路环境(STFUHO)_11-高架路段,事故现场道路环境(STFUHO)_11-高架路段,事故现场道路环境_STFUHO_11-高架路段,事故现场道路环境_STFUHO_11-高架路段,categorical_dummy_or_binary,aligned
508,事故现场道路环境(STFUHO)_12-变窄路段,事故现场道路环境(STFUHO)_12-变窄路段,事故现场道路环境_STFUHO_12-变窄路段,事故现场道路环境_STFUHO_12-变窄路段,categorical_dummy_or_binary,aligned
509,事故现场道路环境(STFUHO)_13-普通路段,事故现场道路环境(STFUHO)_13-普通路段,事故现场道路环境_STFUHO_13-普通路段,事故现场道路环境_STFUHO_13-普通路段,categorical_dummy_or_binary,aligned
510,事故现场道路环境(STFUHO)_14-地产/道路进出口,事故现场道路环境(STFUHO)_14-地产/道路进出口,事故现场道路环境_STFUHO_14-地产/道路进出口,事故现场道路环境_STFUHO_14-地产/道路进出口,categorical_dummy_or_binary,aligned
511,事故现场道路环境(STFUHO)_15-停车场,事故现场道路环境(STFUHO)_15-停车场,事故现场道路环境_STFUHO_15-停车场,事故现场道路环境_STFUHO_15-停车场,categorical_dummy_or_binary,aligned
512,事故现场道路环境(STFUHO)_16-其他内部通道,事故现场道路环境(STFUHO)_16-其他内部通道,事故现场道路环境_STFUHO_16-其他内部通道,事故现场道路环境_STFUHO_16-其他内部通道,categorical_dummy_or_binary,aligned
513,事故现场道路环境(STFUHO)_2-十字路口,事故现场道路环境(STFUHO)_2-十字路口,事故现场道路环境_STFUHO_2-十字路口,事故现场道路环境_STFUHO_2-十字路口,categorical_dummy_or_binary,aligned
514,事故现场道路环境(STFUHO)_3-多分枝路口,事故现场道路环境(STFUHO)_3-多分枝路口,事故现场道路环境_STFUHO_3-多分枝路口,事故现场道路环境_STFUHO_3-多分枝路口,categorical_dummy_or_binary,aligned
515,事故现场道路环境(STFUHO)_4-环形交叉,事故现场道路环境(STFUHO)_4-环形交叉,事故现场道路环境_STFUHO_4-环形交叉,事故现场道路环境_STFUHO_4-环形交叉,categorical_dummy_or_binary,aligned
516,事故现场道路环境(STFUHO)_5-立体交叉,事故现场道路环境(STFUHO)_5-立体交叉,事故现场道路环境_STFUHO_5-立体交叉,事故现场道路环境_STFUHO_5-立体交叉,categorical_dummy_or_binary,aligned
517,事故现场道路环境(STFUHO)_6-匝道口,事故现场道路环境(STFUHO)_6-匝道口,事故现场道路环境_STFUHO_6-匝道口,事故现场道路环境_STFUHO_6-匝道口,categorical_dummy_or_binary,aligned
518,事故现场道路环境(STFUHO)_7-隧道,事故现场道路环境(STFUHO)_7-隧道,事故现场道路环境_STFUHO_7-隧道,事故现场道路环境_STFUHO_7-隧道,categorical_dummy_or_binary,aligned
519,事故现场道路环境(STFUHO)_8-其他,事故现场道路环境(STFUHO)_8-其他,事故现场道路环境_STFUHO_8-其他,事故现场道路环境_STFUHO_8-其他,categorical_dummy_or_binary,aligned
520,事故现场道路环境(STFUHO)_9-桥梁,事故现场道路环境(STFUHO)_9-桥梁,事故现场道路环境_STFUHO_9-桥梁,事故现场道路环境_STFUHO_9-桥梁,categorical_dummy_or_binary,aligned
521,事故路段车流量(VSTUFE)_1-个别车辆,事故路段车流量(VSTUFE)_1-个别车辆,事故路段车流量_VSTUFE_1-个别车辆,事故路段车流量_VSTUFE_1-个别车辆,categorical_dummy_or_binary,aligned
522,事故路段车流量(VSTUFE)_2-较少车辆,事故路段车流量(VSTUFE)_2-较少车辆,事故路段车流量_VSTUFE_2-较少车辆,事故路段车流量_VSTUFE_2-较少车辆,categorical_dummy_or_binary,aligned
523,事故路段车流量(VSTUFE)_3-较多车辆,事故路段车流量(VSTUFE)_3-较多车辆,事故路段车流量_VSTUFE_3-较多车辆,事故路段车流量_VSTUFE_3-较多车辆,categorical_dummy_or_binary,aligned
524,事故路段车流量(VSTUFE)_4-非常多车辆，车辆走走停停,事故路段车流量(VSTUFE)_4-非常多车辆，车辆走走停停,事故路段车流量_VSTUFE_4-非常多车辆，车辆走走停停,事故路段车流量_VSTUFE_4-非常多车辆，车辆走走停停,categorical_dummy_or_binary,aligned
525,事故路段车流量(VSTUFE)_9-未知,事故路段车流量(VSTUFE)_9-未知,事故路段车流量_VSTUFE_9-未知,事故路段车流量_VSTUFE_9-未知,categorical_dummy_or_binary,aligned
526,事故路段车流量(VSTUFE)_MISSING_OR_UNKNOWN,事故路段车流量(VSTUFE)_MISSING_OR_UNKNOWN,事故路段车流量_VSTUFE_MISSING_OR_UNKNOWN,事故路段车流量_VSTUFE_MISSING_OR_UNKNOWN,categorical_dummy_or_binary,aligned
527,星期(WOTAG)_1-星期一,星期(WOTAG)_1-星期一,星期_WOTAG_1-星期一,星期_WOTAG_1-星期一,categorical_dummy_or_binary,aligned
528,星期(WOTAG)_2-星期二,星期(WOTAG)_2-星期二,星期_WOTAG_2-星期二,星期_WOTAG_2-星期二,categorical_dummy_or_binary,aligned
529,星期(WOTAG)_3-星期三,星期(WOTAG)_3-星期三,星期_WOTAG_3-星期三,星期_WOTAG_3-星期三,categorical_dummy_or_binary,aligned
530,星期(WOTAG)_4-星期四,星期(WOTAG)_4-星期四,星期_WOTAG_4-星期四,星期_WOTAG_4-星期四,categorical_dummy_or_binary,aligned
531,星期(WOTAG)_5-星期五,星期(WOTAG)_5-星期五,星期_WOTAG_5-星期五,星期_WOTAG_5-星期五,categorical_dummy_or_binary,aligned
532,星期(WOTAG)_6-星期六,星期(WOTAG)_6-星期六,星期_WOTAG_6-星期六,星期_WOTAG_6-星期六,categorical_dummy_or_binary,aligned
533,星期(WOTAG)_7-星期天,星期(WOTAG)_7-星期天,星期_WOTAG_7-星期天,星期_WOTAG_7-星期天,categorical_dummy_or_binary,aligned
534,星期(WOTAG)_MISSING_OR_UNKNOWN,星期(WOTAG)_MISSING_OR_UNKNOWN,星期_WOTAG_MISSING_OR_UNKNOWN,星期_WOTAG_MISSING_OR_UNKNOWN,categorical_dummy_or_binary,aligned
535,事故碰撞总次数(ACCICOLLINO)_1-1,事故碰撞总次数(ACCICOLLINO)_1-1,事故碰撞总次数_ACCICOLLINO_1-1,事故碰撞总次数_ACCICOLLINO_1-1,categorical_dummy_or_binary,aligned
536,事故碰撞总次数(ACCICOLLINO)_2-2,事故碰撞总次数(ACCICOLLINO)_2-2,事故碰撞总次数_ACCICOLLINO_2-2,事故碰撞总次数_ACCICOLLINO_2-2,categorical_dummy_or_binary,aligned
537,事故碰撞总次数(ACCICOLLINO)_3-3,事故碰撞总次数(ACCICOLLINO)_3-3,事故碰撞总次数_ACCICOLLINO_3-3,事故碰撞总次数_ACCICOLLINO_3-3,categorical_dummy_or_binary,aligned
538,事故碰撞总次数(ACCICOLLINO)_MISSING_OR_UNKNOWN,事故碰撞总次数(ACCICOLLINO)_MISSING_OR_UNKNOWN,事故碰撞总次数_ACCICOLLINO_MISSING_OR_UNKNOWN,事故碰撞总次数_ACCICOLLINO_MISSING_OR_UNKNOWN,categorical_dummy_or_binary,aligned
539,道路类型(STRART)_11-公路 高速公路,道路类型(STRART)_11-公路 高速公路,道路类型_STRART_11-公路_高速公路,道路类型_STRART_11-公路_高速公路,categorical_dummy_or_binary,aligned
540,道路类型(STRART)_12-公路 一级公路,道路类型(STRART)_12-公路 一级公路,道路类型_STRART_12-公路_一级公路,道路类型_STRART_12-公路_一级公路,categorical_dummy_or_binary,aligned
541,道路类型(STRART)_13-公路 二级公路,道路类型(STRART)_13-公路 二级公路,道路类型_STRART_13-公路_二级公路,道路类型_STRART_13-公路_二级公路,categorical_dummy_or_binary,aligned
542,道路类型(STRART)_14-公路 三级公路,道路类型(STRART)_14-公路 三级公路,道路类型_STRART_14-公路_三级公路,道路类型_STRART_14-公路_三级公路,categorical_dummy_or_binary,aligned
543,道路类型(STRART)_15-公路 四级公路,道路类型(STRART)_15-公路 四级公路,道路类型_STRART_15-公路_四级公路,道路类型_STRART_15-公路_四级公路,categorical_dummy_or_binary,aligned
544,道路类型(STRART)_16-公路 等外公路,道路类型(STRART)_16-公路 等外公路,道路类型_STRART_16-公路_等外公路,道路类型_STRART_16-公路_等外公路,categorical_dummy_or_binary,aligned
545,道路类型(STRART)_21-城市道路 快速路,道路类型(STRART)_21-城市道路 快速路,道路类型_STRART_21-城市道路_快速路,道路类型_STRART_21-城市道路_快速路,categorical_dummy_or_binary,aligned
546,道路类型(STRART)_22-城市道路 主干路,道路类型(STRART)_22-城市道路 主干路,道路类型_STRART_22-城市道路_主干路,道路类型_STRART_22-城市道路_主干路,categorical_dummy_or_binary,aligned
547,道路类型(STRART)_23-城市道路 次干路,道路类型(STRART)_23-城市道路 次干路,道路类型_STRART_23-城市道路_次干路,道路类型_STRART_23-城市道路_次干路,categorical_dummy_or_binary,aligned
548,道路类型(STRART)_24-城市道路 支路,道路类型(STRART)_24-城市道路 支路,道路类型_STRART_24-城市道路_支路,道路类型_STRART_24-城市道路_支路,categorical_dummy_or_binary,aligned
549,道路类型(STRART)_32-其他道路 停车场,道路类型(STRART)_32-其他道路 停车场,道路类型_STRART_32-其他道路_停车场,道路类型_STRART_32-其他道路_停车场,categorical_dummy_or_binary,aligned
550,道路类型(STRART)_33-其他道路 居民区、工厂、学校等单位内部道路,道路类型(STRART)_33-其他道路 居民区、工厂、学校等单位内部道路,道路类型_STRART_33-其他道路_居民区、工厂、学校等单位内部道路,道路类型_STRART_33-其他道路_居民区、工厂、学校等单位内部道路,categorical_dummy_or_binary,aligned
551,道路类型(STRART)_34-其他道路 村庄内部道路,道路类型(STRART)_34-其他道路 村庄内部道路,道路类型_STRART_34-其他道路_村庄内部道路,道路类型_STRART_34-其他道路_村庄内部道路,categorical_dummy_or_binary,aligned
552,道路类型(STRART)_98-其它,道路类型(STRART)_98-其它,道路类型_STRART_98-其它,道路类型_STRART_98-其它,categorical_dummy_or_binary,aligned
553,道路类型(STRART)_99-未知,道路类型(STRART)_99-未知,道路类型_STRART_99-未知,道路类型_STRART_99-未知,categorical_dummy_or_binary,aligned
554,道路类型(STRART)_MISSING_OR_UNKNOWN,道路类型(STRART)_MISSING_OR_UNKNOWN,道路类型_STRART_MISSING_OR_UNKNOWN,道路类型_STRART_MISSING_OR_UNKNOWN,categorical_dummy_or_binary,aligned
555,公路分类(STRKL)_0-非公共停车场,公路分类(STRKL)_0-非公共停车场,公路分类_STRKL_0-非公共停车场,公路分类_STRKL_0-非公共停车场,categorical_dummy_or_binary,aligned
556,公路分类(STRKL)_1-公路以外的其他道路,公路分类(STRKL)_1-公路以外的其他道路,公路分类_STRKL_1-公路以外的其他道路,公路分类_STRKL_1-公路以外的其他道路,categorical_dummy_or_binary,aligned
557,公路分类(STRKL)_2-公路，具体未知,公路分类(STRKL)_2-公路，具体未知,公路分类_STRKL_2-公路，具体未知,公路分类_STRKL_2-公路，具体未知,categorical_dummy_or_binary,aligned
558,公路分类(STRKL)_3-国道,公路分类(STRKL)_3-国道,公路分类_STRKL_3-国道,公路分类_STRKL_3-国道,categorical_dummy_or_binary,aligned
559,公路分类(STRKL)_4-省道,公路分类(STRKL)_4-省道,公路分类_STRKL_4-省道,公路分类_STRKL_4-省道,categorical_dummy_or_binary,aligned
560,公路分类(STRKL)_5-县道,公路分类(STRKL)_5-县道,公路分类_STRKL_5-县道,公路分类_STRKL_5-县道,categorical_dummy_or_binary,aligned
561,公路分类(STRKL)_6-乡道,公路分类(STRKL)_6-乡道,公路分类_STRKL_6-乡道,公路分类_STRKL_6-乡道,categorical_dummy_or_binary,aligned
562,公路分类(STRKL)_7-村道,公路分类(STRKL)_7-村道,公路分类_STRKL_7-村道,公路分类_STRKL_7-村道,categorical_dummy_or_binary,aligned
563,公路分类(STRKL)_8-其它,公路分类(STRKL)_8-其它,公路分类_STRKL_8-其它,公路分类_STRKL_8-其它,categorical_dummy_or_binary,aligned
564,公路分类(STRKL)_9-未知,公路分类(STRKL)_9-未知,公路分类_STRKL_9-未知,公路分类_STRKL_9-未知,categorical_dummy_or_binary,aligned
565,公路分类(STRKL)_MISSING_OR_UNKNOWN,公路分类(STRKL)_MISSING_OR_UNKNOWN,公路分类_STRKL_MISSING_OR_UNKNOWN,公路分类_STRKL_MISSING_OR_UNKNOWN,categorical_dummy_or_binary,aligned
566,道路线性(STRLIN)_1-平直,道路线性(STRLIN)_1-平直,道路线性_STRLIN_1-平直,道路线性_STRLIN_1-平直,categorical_dummy_or_binary,aligned
567,道路线性(STRLIN)_12-一般弯陡坡,道路线性(STRLIN)_12-一般弯陡坡,道路线性_STRLIN_12-一般弯陡坡,道路线性_STRLIN_12-一般弯陡坡,categorical_dummy_or_binary,aligned
568,道路线性(STRLIN)_2-一般弯,道路线性(STRLIN)_2-一般弯,道路线性_STRLIN_2-一般弯,道路线性_STRLIN_2-一般弯,categorical_dummy_or_binary,aligned
569,道路线性(STRLIN)_3-一般坡,道路线性(STRLIN)_3-一般坡,道路线性_STRLIN_3-一般坡,道路线性_STRLIN_3-一般坡,categorical_dummy_or_binary,aligned
570,道路线性(STRLIN)_7-一般坡弯,道路线性(STRLIN)_7-一般坡弯,道路线性_STRLIN_7-一般坡弯,道路线性_STRLIN_7-一般坡弯,categorical_dummy_or_binary,aligned
571,道路线性(STRLIN)_9-未知,道路线性(STRLIN)_9-未知,道路线性_STRLIN_9-未知,道路线性_STRLIN_9-未知,categorical_dummy_or_binary,aligned
572,道路线性(STRLIN)_MISSING_OR_UNKNOWN,道路线性(STRLIN)_MISSING_OR_UNKNOWN,道路线性_STRLIN_MISSING_OR_UNKNOWN,道路线性_STRLIN_MISSING_OR_UNKNOWN,categorical_dummy_or_binary,aligned
573,碰撞前的行驶方向(FZGRI)_0-静止,碰撞前的行驶方向(FZGRI)_0-静止,碰撞前的行驶方向_FZGRI_0-静止,碰撞前的行驶方向_FZGRI_0-静止,categorical_dummy_or_binary,aligned
574,碰撞前的行驶方向(FZGRI)_10-西南方向,碰撞前的行驶方向(FZGRI)_10-西南方向,碰撞前的行驶方向_FZGRI_10-西南方向,碰撞前的行驶方向_FZGRI_10-西南方向,categorical_dummy_or_binary,aligned
575,碰撞前的行驶方向(FZGRI)_11-西,碰撞前的行驶方向(FZGRI)_11-西,碰撞前的行驶方向_FZGRI_11-西,碰撞前的行驶方向_FZGRI_11-西,categorical_dummy_or_binary,aligned
576,碰撞前的行驶方向(FZGRI)_12-西北方向,碰撞前的行驶方向(FZGRI)_12-西北方向,碰撞前的行驶方向_FZGRI_12-西北方向,碰撞前的行驶方向_FZGRI_12-西北方向,categorical_dummy_or_binary,aligned
577,碰撞前的行驶方向(FZGRI)_3-北,碰撞前的行驶方向(FZGRI)_3-北,碰撞前的行驶方向_FZGRI_3-北,碰撞前的行驶方向_FZGRI_3-北,categorical_dummy_or_binary,aligned
578,碰撞前的行驶方向(FZGRI)_4-东北方向,碰撞前的行驶方向(FZGRI)_4-东北方向,碰撞前的行驶方向_FZGRI_4-东北方向,碰撞前的行驶方向_FZGRI_4-东北方向,categorical_dummy_or_binary,aligned
579,碰撞前的行驶方向(FZGRI)_5-东,碰撞前的行驶方向(FZGRI)_5-东,碰撞前的行驶方向_FZGRI_5-东,碰撞前的行驶方向_FZGRI_5-东,categorical_dummy_or_binary,aligned
580,碰撞前的行驶方向(FZGRI)_6-东南方向,碰撞前的行驶方向(FZGRI)_6-东南方向,碰撞前的行驶方向_FZGRI_6-东南方向,碰撞前的行驶方向_FZGRI_6-东南方向,categorical_dummy_or_binary,aligned
581,碰撞前的行驶方向(FZGRI)_7-南,碰撞前的行驶方向(FZGRI)_7-南,碰撞前的行驶方向_FZGRI_7-南,碰撞前的行驶方向_FZGRI_7-南,categorical_dummy_or_binary,aligned
582,碰撞前的行驶方向(FZGRI)_8-其他,碰撞前的行驶方向(FZGRI)_8-其他,碰撞前的行驶方向_FZGRI_8-其他,碰撞前的行驶方向_FZGRI_8-其他,categorical_dummy_or_binary,aligned
583,碰撞前的行驶方向(FZGRI)_MISSING_OR_UNKNOWN,碰撞前的行驶方向(FZGRI)_MISSING_OR_UNKNOWN,碰撞前的行驶方向_FZGRI_MISSING_OR_UNKNOWN,碰撞前的行驶方向_FZGRI_MISSING_OR_UNKNOWN,categorical_dummy_or_binary,aligned
584,行驶车辆所在车道(FSTREIF)_0-静止车辆,行驶车辆所在车道(FSTREIF)_0-静止车辆,行驶车辆所在车道_FSTREIF_0-静止车辆,行驶车辆所在车道_FSTREIF_0-静止车辆,categorical_dummy_or_binary,aligned
585,行驶车辆所在车道(FSTREIF)_10-三车道或多车道的左侧车道,行驶车辆所在车道(FSTREIF)_10-三车道或多车道的左侧车道,行驶车辆所在车道_FSTREIF_10-三车道或多车道的左侧车道,行驶车辆所在车道_FSTREIF_10-三车道或多车道的左侧车道,categorical_dummy_or_binary,aligned
586,行驶车辆所在车道(FSTREIF)_11-对向车道(逆行),行驶车辆所在车道(FSTREIF)_11-对向车道(逆行),行驶车辆所在车道_FSTREIF_11-对向车道_逆行,行驶车辆所在车道_FSTREIF_11-对向车道_逆行,categorical_dummy_or_binary,aligned
587,行驶车辆所在车道(FSTREIF)_13-右侧自行车道,行驶车辆所在车道(FSTREIF)_13-右侧自行车道,行驶车辆所在车道_FSTREIF_13-右侧自行车道,行驶车辆所在车道_FSTREIF_13-右侧自行车道,categorical_dummy_or_binary,aligned
588,行驶车辆所在车道(FSTREIF)_2-双向单车道,行驶车辆所在车道(FSTREIF)_2-双向单车道,行驶车辆所在车道_FSTREIF_2-双向单车道,行驶车辆所在车道_FSTREIF_2-双向单车道,categorical_dummy_or_binary,aligned
589,行驶车辆所在车道(FSTREIF)_21-直行车道,行驶车辆所在车道(FSTREIF)_21-直行车道,行驶车辆所在车道_FSTREIF_21-直行车道,行驶车辆所在车道_FSTREIF_21-直行车道,categorical_dummy_or_binary,aligned
590,行驶车辆所在车道(FSTREIF)_22-左转车道,行驶车辆所在车道(FSTREIF)_22-左转车道,行驶车辆所在车道_FSTREIF_22-左转车道,行驶车辆所在车道_FSTREIF_22-左转车道,categorical_dummy_or_binary,aligned
591,行驶车辆所在车道(FSTREIF)_23-使用右转车道右转,行驶车辆所在车道(FSTREIF)_23-使用右转车道右转,行驶车辆所在车道_FSTREIF_23-使用右转车道右转,行驶车辆所在车道_FSTREIF_23-使用右转车道右转,categorical_dummy_or_binary,aligned
592,行驶车辆所在车道(FSTREIF)_24-使用右转车道直行或左转,行驶车辆所在车道(FSTREIF)_24-使用右转车道直行或左转,行驶车辆所在车道_FSTREIF_24-使用右转车道直行或左转,行驶车辆所在车道_FSTREIF_24-使用右转车道直行或左转,categorical_dummy_or_binary,aligned
593,行驶车辆所在车道(FSTREIF)_25-使用左转车道左转,行驶车辆所在车道(FSTREIF)_25-使用左转车道左转,行驶车辆所在车道_FSTREIF_25-使用左转车道左转,行驶车辆所在车道_FSTREIF_25-使用左转车道左转,categorical_dummy_or_binary,aligned
594,行驶车辆所在车道(FSTREIF)_26-使用左转车道直行或右转,行驶车辆所在车道(FSTREIF)_26-使用左转车道直行或右转,行驶车辆所在车道_FSTREIF_26-使用左转车道直行或右转,行驶车辆所在车道_FSTREIF_26-使用左转车道直行或右转,categorical_dummy_or_binary,aligned
595,行驶车辆所在车道(FSTREIF)_27-使用直行车道右转,行驶车辆所在车道(FSTREIF)_27-使用直行车道右转,行驶车辆所在车道_FSTREIF_27-使用直行车道右转,行驶车辆所在车道_FSTREIF_27-使用直行车道右转,categorical_dummy_or_binary,aligned
